Categoria,Ícone Sugerido,Classe (para mod_links),Observações
Utilidades/Símbolos,Símbolo de Relâmpago,fas fa-bolt,Raio.
Utilidades/Símbolos,Símbolo de Árvore,fas fa-tree,Natureza.
Utilidades/Símbolos,Símbolo de Folha,fas fa-leaf,Natureza.
Utilidades/Símbolos,Símbolo de Montanha,fas fa-mountain,Montanha.
Utilidades/Símbolos,Símbolo de Rio,fas fa-water,Rio.
Utilidades/Símbolos,Símbolo de Terra,fas fa-globe-americas,Mundo.
Utilidades/Símbolos,Símbolo de Planeta,fas fa-globe,Planeta.
Utilidades/Símbolos,Símbolo de Foguete,fas fa-rocket,Lançamento.
Utilidades/Símbolos,Símbolo de UFO,fas fa-pastafarianism,"(Ícone divertido para ""alien"")."
Utilidades/Símbolos,Símbolo de Dinheiro,fas fa-money-bill-wave,Dinheiro.
Utilidades/Símbolos,Símbolo de Presente,fas fa-gift,Presente.
Utilidades/Símbolos,Símbolo de Coroa,fas fa-crown,Realeza.
Utilidades/Símbolos,Símbolo de Troféu,fas fa-trophy,Vitória.
Utilidades/Símbolos,Símbolo de Medalha,fas fa-medal,Honra.
Utilidades/Símbolos,Símbolo de Crachá,fas fa-badge-check,Verificado.
Utilidades/Símbolos,Símbolo de Certificado,fas fa-award,Diploma.
Utilidades/Símbolos,Símbolo de Livro Aberto,fas fa-book-open,Leitura.
Utilidades/Símbolos,Símbolo de Lápis,fas fa-pencil-alt,Escrever.
Utilidades/Símbolos,Símbolo de Régua,fas fa-ruler,Medir.
Utilidades/Símbolos,Símbolo de Tesoura,fas fa-cut,Cortar.
Utilidades/Símbolos,Símbolo de Borracha,fas fa-eraser,Apagar.
Utilidades/Símbolos,Símbolo de Cola,fas fa-grip-lines,Linhas.
Utilidades/Símbolos,Símbolo de Alfinete,fas fa-thumbtack,Fixar.
Utilidades/Símbolos,Símbolo de Fita Métrica,fas fa-tape,Medida.
Utilidades/Símbolos,Símbolo de Martelo,fas fa-hammer,Construção.
Utilidades/Símbolos,Símbolo de Chave de Boca,fas fa-wrench,Ferramenta.
Utilidades/Símbolos,Símbolo de Caminhão de Carga,fas fa-truck-loading,Carregamento.
Utilidades/Símbolos,Símbolo de Empilhadeira,fas fa-pallet,Pallet.
Utilidades/Símbolos,Símbolo de Envio,fas fa-shipping-fast,Entrega rápida.
Utilidades/Símbolos,Símbolo de Armazém,fas fa-warehouse,Armazém.
Utilidades/Símbolos,Símbolo de Fábrica,fas fa-industry,Indústria.
Utilidades/Símbolos,Símbolo de Robô,fas fa-robot,Robótica.
Utilidades/Símbolos,Símbolo de Engrenagem,fas fa-cogs,Configurações.
Utilidades/Símbolos,Símbolo de Escala,fas fa-balance-scale,Justiça.
Utilidades/Símbolos,Símbolo de Martelo de Juiz,fas fa-gavel,Lei.
Utilidades/Símbolos,Símbolo de Algemas,fas fa-handcuffs,Algemas.
Utilidades/Símbolos,Símbolo de Policial,fas fa-user-secret,Secreto.
Utilidades/Símbolos,Símbolo de Proteção,fas fa-shield-alt,Proteção.
Utilidades/Símbolos,Símbolo de Alerta,fas fa-bell,Alerta.
Utilidades/Símbolos,Símbolo de Bloqueio,fas fa-lock,Segurança.
Utilidades/Símbolos,Símbolo de Desbloqueio,fas fa-unlock,Desbloquear.
Utilidades/Símbolos,Símbolo de Câmera de Segurança,fas fa-video,Vigilância.
Utilidades/Símbolos,Símbolo de Visão Noturna,fas fa-eye-slash,Esconder.
Utilidades/Símbolos,Símbolo de Impressão Digital,fas fa-fingerprint,Autenticação.
Utilidades/Símbolos,Símbolo de Reconhecimento Facial,fas fa-face-grimace,"(Genérico, pode ser adaptado)."
Utilidades/Símbolos,Símbolo de Cadeia,fas fa-link,Conexão.
Utilidades/Símbolos,Símbolo de Nuvem,fas fa-cloud,Nuvem.
Utilidades/Símbolos,Símbolo de Código,fas fa-code,Programação.
Utilidades/Símbolos,Símbolo de Terminal,fas fa-terminal,Linha de comando.
Utilidades/Símbolos,Símbolo de Computador,fas fa-laptop,Computador.
Utilidades/Símbolos,Símbolo de Celular,fas fa-mobile-alt,Celular.
Utilidades/Símbolos,Símbolo de Tablet,fas fa-tablet-alt,Tablet.
Utilidades/Símbolos,Símbolo de Desktop,fas fa-desktop,Desktop.
Utilidades/Símbolos,Símbolo de Servidor,fas fa-server,Servidor.
Utilidades/Símbolos,Símbolo de Wi-Fi,fas fa-wifi,Wireless.
Utilidades/Símbolos,Símbolo de Sinal,fas fa-signal,Sinal.
Utilidades/Símbolos,Símbolo de Bluetooth,fab fa-bluetooth-b,Bluetooth.
Utilidades/Símbolos,Símbolo de NFC,fas fa-id-card,"(Genérico, pode ser adaptado)."
Utilidades/Símbolos,Símbolo de Cartão de Crédito,fas fa-credit-card,Pagamento.
Utilidades/Símbolos,Símbolo de Banco,fas fa-university,Banco.
Utilidades/Símbolos,Símbolo de Dinheiro,fas fa-money-bill-wave,Cash.
Utilidades/Símbolos,Símbolo de Cifrão,fas fa-dollar-sign,Moeda.
Utilidades/Símbolos,Símbolo de Euro,fas fa-euro-sign,Moeda.
Utilidades/Símbolos,Símbolo de Libra,fas fa-pound-sign,Moeda.
Utilidades/Símbolos,Símbolo de Iene,fas fa-yen-sign,Moeda.
Utilidades/Símbolos,Símbolo de Bitcoin,fab fa-bitcoin,Criptomoeda.
Utilidades/Símbolos,Símbolo de Carrinho de Compras,fas fa-shopping-cart,Compras.
Utilidades/Símbolos,Símbolo de Sacola de Compras,fas fa-shopping-bag,Compras.
Utilidades/Símbolos,Símbolo de Presente,fas fa-gift,Presente.
Utilidades/Símbolos,Símbolo de Etiqueta de Preço,fas fa-tag,Preço.
Utilidades/Símbolos,Símbolo de Desconto,fas fa-percentage,Desconto.
Utilidades/Símbolos,Símbolo de Gráfico de Pizza,fas fa-chart-pie,Estatísticas.
Utilidades/Símbolos,Símbolo de Gráfico de Linha,fas fa-chart-line,Tendências.
Utilidades/Símbolos,Símbolo de Gráfico de Barras,fas fa-chart-bar,Dados.
Utilidades/Símbolos,Símbolo de Tabela,fas fa-table,Tabela.
Utilidades/Símbolos,Símbolo de Calculadora,fas fa-calculator,Cálculo.
